chromosome,chromStart,chromEnd,strand,symbol,GeneID,feature_interval_length
chr1,3199733,3671948,-,Xkr4,497097,472216
chr1,4115673,4409266,-,Rp1,19888,293594
chr1,4490928,4497426,-,Sox17,20671,6499
chr1,4773198,4785750,-,Mrpl15,27395,12553
chr1,4807823,4846735,+,Lypla1,18777,38913
chr1,4857694,4897909,+,Tcea1,21399,40216
chr1,4909573,5070299,-,Rgs20,58175,160727
chr1,5082978,5163213,+,Atp6v1h,108664,80236
chr1,5588450,5606134,+,Oprk1,18387,17685
chr1,5913707,5917398,-,Npbwr1,226304,3692
chr1,6214634,6276375,+,Rb1cc1,12421,61742
chr1,6359331,6394731,+,Alkal1,620393,35401
chr1,6487231,6860940,+,St18,240690,373710
chr1,7087077,7173628,+,Pcmtd1,319263,86552
chr1,8359739,9301657,-,Sntg1,71096,941919
chr1,9545408,9547455,+,Rrs1,59014,2048
chr1,9547948,9577970,+,Adhfe1,76187,30023
chr1,9601267,9627142,+,Vxn,76982,25876
chr1,9667407,9700439,-,Mybl1,17864,33033
chr1,9718622,9748382,-,Vcpip1,70675,29761
chr1,9798130,9902570,+,Sgk3,170755,104441
chr1,9906157,9943606,+,Mcmdc2,240697,37450
chr1,9960163,9967981,-,Tcf24,100039596,7819
chr1,9968622,10013541,-,Ppp1r42,69312,44920
chr1,10024600,10038159,-,Cops5,26754,13560
chr1,10038116,10136771,+,Cspp1,211660,98656
chr1,10137507,10232670,-,Arfgef1,211673,95164
chr1,10295791,10720053,-,Cpa6,329093,424263
chr1,10993273,11303683,+,Prex2,109294,310411
chr1,11413615,11975902,+,A830018L16Rik,320492,562288
chr1,12692197,12861192,+,Sulf1,240725,168996
chr1,12866549,12992796,-,Slco5a1,240726,126248
chr1,13113428,13127163,-,Prdm14,383491,13736
chr1,13139105,13374227,-,Ncoa2,17978,235123
chr1,13564693,13589910,-,Tram1,72265,25218
chr1,13625893,13660583,-,Lactb2,212442,34691
chr1,13668738,13702230,+,Xkr9,381246,33493
chr1,14168953,14311035,-,Eya1,14048,142083
chr1,14753344,14756089,-,Msc,17681,2746
chr1,14872644,14918862,-,Trpa1,277328,46219
chr1,15286925,15723751,+,Kcnb2,98741,436827
chr1,15374637,15455813,+,LOC115485680,115485680,81177
chr1,15805546,15844052,+,Terf1,21749,38507
chr1,15853862,15892722,-,Sbspon,226866,38861
chr1,16065974,16093345,-,4930444P10Rik,75799,27372
chr1,16101295,16104433,-,Rpl7,19989,3139
chr1,16105882,16132550,+,Rdh10,98711,26669
chr1,16228803,16520332,-,Stau2,29819,291530
chr1,16540788,16619460,-,Ube2w,66799,78673
chr1,16641725,16657428,-,Eloc,67923,15704
chr1,16665191,16678275,+,Tmem70,70397,13085
chr1,16688456,16709605,+,Ly96,17087,21150
chr1,16942104,17097922,-,Jph1,57339,155819
chr1,17145373,17164271,+,Gdap1,14545,18899
chr1,17601901,17630939,+,Pi15,94227,29039
chr1,17727029,17767235,+,Crispld1,83691,40207
chr1,18114889,18145902,-,Crisp4,78081,31014
chr1,18236402,18237476,-,Defb18,654460,1075
chr1,18250978,18265138,-,Defb41,77673,14161
chr1,19103022,19168592,+,Tfap2d,226896,65571
chr1,19208908,19238845,+,Tfap2b,21419,29938
chr1,20057779,20618082,-,Pkhd1,241035,560304
chr1,20730905,20734496,+,Il17a,16171,3592
chr1,20777146,20785274,-,Il17f,257630,8129
chr1,20802966,20820312,-,Mcm3,17215,17347
chr1,20890548,20939650,+,Paqr8,74229,49103
chr1,20951553,20990841,+,Efhc1,71877,39289
chr1,21001397,21079225,-,Tram2,170829,77829
chr1,21166436,21230167,+,Tmem14a,75712,63732
chr1,21240565,21265575,+,Gsta3,14859,25011
chr1,21349677,21352199,+,Khdc1a,368204,2523
chr1,21368331,21369743,+,Khdc1c,433278,1413
chr1,21383556,21386384,+,Khdc1b,98582,2829
chr1,21398399,21962650,-,Kcnq5,226922,564252
chr1,22285972,22806003,-,Rims1,116837,520032
chr1,23100473,23102253,-,4933415F23Rik,66755,1781
chr1,23366424,23383219,-,Ogfrl1,70155,16796
chr1,23761926,23847865,+,B3gat2,280645,85940
chr1,23844825,23922381,-,Smap1,98366,77557
chr1,23995939,24005640,-,Sdhaf4,68002,9702
chr1,24010758,24100484,-,Fam135a,68187,89727
chr1,24177589,24252738,+,Col9a1,12839,75150
chr1,24257683,24587922,-,Col19a1,12823,330240
chr1,24676992,24766301,+,Lmbrd1,68421,89310
chr1,25067476,25834772,-,Adgrb3,210933,767297
chr1,25276404,25277954,-,Gm20172,100504323,1551
chr1,26681801,26687460,-,4931408C20Rik,210940,5660
chr1,28776122,28780252,-,Gm597,210962,4131
chr1,30802342,30873922,-,Phf3,213109,71581
chr1,30940303,30949877,-,Ptp4a1,19243,9575
chr1,30949396,30951023,+,LOC115487084,115487084,1628
chr1,31176281,31204725,+,Lgsn,266744,28445
chr1,31222839,31224287,+,Pih1d3,74708,1449
chr1,32172602,32705224,+,Khdrbs2,170771,532623
chr1,32519563,32520999,-,Gm9839,408192,1437
chr1,32543546,32547293,-,Gm5415,408191,3748
chr1,33453808,33669808,-,Prim2,19076,216001
